# The rulings of tajwid — أحكام التجويد — as the tajweed-engine corpus enumerates them.
#
# GENERATED by tools/generate_tajwid_registry.py from
# standards/terminology/data/tajweed_engine_rules.json (version 0.4.2,
# riwayah hafs-an-asim). Do not edit by hand: change the corpus, or the vocalized
# labels in the generator, and run it again.
#
# WHY THIS IS A REGISTRY
# `tajwid_ruling` is the concept and has its dictionary entry, as do the
# families a ruling belongs to: izhar, idgham, iqlab, ikhfa, the kinds of madd,
# qalqalah, tafkhim and tarqiq. A hukum is a member of that set: what is true of
# it is its name, its place in the corpus (topic, category, school) and the
# rules the engine attaches to it, which is a row and not an entry (section 13).
#
# THE CODES ARE DERIVED
# The corpus writes its labels without tashkeel. The generator keeps a vocalized
# form of every label and derives the code from it by tools/translit.py, so the
# registry obeys sections 4 to 8 like every other name in the standard. Two
# consequences: where the engine gives two rulings the same label and a
# different school (the ranks of tafkhim), the school is part of the name; and
# where a label is bare («الإظهار» under the mutamathilayn), the category is
# written in so the member does not shadow the concept.
#
# `concept` names the dictionary entry or entries the hukum is a case of.
# `topic`, `category` and `school` are the engine's own ids, kept as they are so
# a reader can find the hukum in the corpus. `alternative_spellings` carries the
# engine's kebab id, so a dataset keyed its way resolves to the same member.
#
# `ref` cites the corpus by hukum id, as sources.yml asks.
#
# code	arabic	display	concept	topic	category	school	alternative_spellings	ref
martabat_al_tafkhim_ula_ind_ibn_al_jazari	مَرْتَبَة التَّفْخِيم الأُولَى عِنْدَ اِبْن الجَزَرِيّ	Martabat al-Tafkhim Ula Ind Ibn al-Jazari	tafkhim	tafkheem-tarqeeq	tafkheem-ranks	ibn_al_jazari	tafkheem-rank-1-jazari,tafkheem_rank_1_jazari	tajweed_engine tafkheem-rank-1-jazari
martabat_al_tafkhim_thaniyah_ind_ibn_al_jazari	مَرْتَبَة التَّفْخِيم الثَّانِيَة عِنْدَ اِبْن الجَزَرِيّ	Martabat al-Tafkhim Thaniyah Ind Ibn al-Jazari	tafkhim	tafkheem-tarqeeq	tafkheem-ranks	ibn_al_jazari	tafkheem-rank-2-jazari,tafkheem_rank_2_jazari	tajweed_engine tafkheem-rank-2-jazari
martabat_al_tafkhim_thalithah_ind_ibn_al_jazari	مَرْتَبَة التَّفْخِيم الثَّالِثَة عِنْدَ اِبْن الجَزَرِيّ	Martabat al-Tafkhim Thalithah Ind Ibn al-Jazari	tafkhim	tafkheem-tarqeeq	tafkheem-ranks	ibn_al_jazari	tafkheem-rank-3-jazari,tafkheem_rank_3_jazari	tajweed_engine tafkheem-rank-3-jazari
martabat_al_tafkhim_rabiah_ind_ibn_al_jazari	مَرْتَبَة التَّفْخِيم الرَّابِعَة عِنْدَ اِبْن الجَزَرِيّ	Martabat al-Tafkhim Rabiah Ind Ibn al-Jazari	tafkhim	tafkheem-tarqeeq	tafkheem-ranks	ibn_al_jazari	tafkheem-rank-4-jazari,tafkheem_rank_4_jazari	tajweed_engine tafkheem-rank-4-jazari
martabat_al_tafkhim_nisbi_khamisah_ind_ibn_al_jazari	مَرْتَبَة التَّفْخِيم النِّسْبِيّ الخَامِسَة عِنْدَ اِبْن الجَزَرِيّ	Martabat al-Tafkhim Nisbi Khamisah Ind Ibn al-Jazari	tafkhim	tafkheem-tarqeeq	tafkheem-ranks	ibn_al_jazari	tafkheem-rank-5-relative-jazari,tafkheem_rank_5_relative_jazari	tajweed_engine tafkheem-rank-5-relative-jazari
martabat_al_tafkhim_ula_ind_ibn_al_tahhan	مَرْتَبَة التَّفْخِيم الأُولَى عِنْدَ اِبْن الطَّحَّان	Martabat al-Tafkhim Ula Ind Ibn al-Tahhan	tafkhim	tafkheem-tarqeeq	tafkheem-ranks	ibn_al_tahhan	tafkheem-rank-1-tahhan,tafkheem_rank_1_tahhan	tajweed_engine tafkheem-rank-1-tahhan
martabat_al_tafkhim_thaniyah_ind_ibn_al_tahhan	مَرْتَبَة التَّفْخِيم الثَّانِيَة عِنْدَ اِبْن الطَّحَّان	Martabat al-Tafkhim Thaniyah Ind Ibn al-Tahhan	tafkhim	tafkheem-tarqeeq	tafkheem-ranks	ibn_al_tahhan	tafkheem-rank-2-tahhan,tafkheem_rank_2_tahhan	tajweed_engine tafkheem-rank-2-tahhan
martabat_al_tafkhim_nisbi_thalithah_ind_ibn_al_tahhan	مَرْتَبَة التَّفْخِيم النِّسْبِيّ الثَّالِثَة عِنْدَ اِبْن الطَّحَّان	Martabat al-Tafkhim Nisbi Thalithah Ind Ibn al-Tahhan	tafkhim	tafkheem-tarqeeq	tafkheem-ranks	ibn_al_tahhan	tafkheem-rank-3-relative-tahhan,tafkheem_rank_3_relative_tahhan	tajweed_engine tafkheem-rank-3-relative-tahhan
huruf_muraqqaqah_daima	الحُرُوف المُرَقَّقَة دَائِمًا	Huruf Muraqqaqah Daima	tarqiq	tafkheem-tarqeeq	always-tarqeeq-letters		always-tarqeeq,always_tarqeeq	tajweed_engine always-tarqeeq
ghunnat_al_ikhfa_haqiqi_muraqqaqah	غُنَّة الإِخْفَاء الحَقِيقِيّ المُرَقَّقَة	Ghunnat al-Ikhfa Haqiqi Muraqqaqah	tarqiq	tafkheem-tarqeeq	ikhfa-ghunnah-quality		ikhfa-ghunnah-tarqeeq,ikhfa_ghunnah_tarqeeq	tajweed_engine ikhfa-ghunnah-tarqeeq
